Date,Open,High,Low,Close,Adj Close,Volume
2019-05-09,263.329987,268.690002,259.500000,267.429993,267.429993,1099000
2019-05-10,265.809998,267.880005,258.239990,264.220001,264.220001,1153500
2019-05-13,256.440002,258.140015,243.393005,243.899994,243.899994,1721400
2019-05-14,247.520004,252.729996,246.500000,248.880005,248.880005,1483700
2019-05-15,246.910004,250.050003,246.000000,248.699997,248.699997,881100
2019-05-16,251.190002,255.250000,250.399994,253.619995,253.619995,788000
2019-05-17,249.820007,253.945007,248.589996,250.119995,250.119995,1309700
2019-05-20,247.500000,248.259995,242.639999,244.949997,244.949997,795200
2019-05-21,246.279999,253.949997,246.279999,252.949997,252.949997,1134900
2019-05-22,252.000000,255.337997,251.240005,253.139999,253.139999,848500
2019-05-23,249.070007,255.279999,248.149994,254.380005,254.380005,1162600
2019-05-24,256.869995,259.476990,254.779999,255.940002,255.940002,875000
2019-05-28,256.519989,259.160004,252.904999,253.339996,253.339996,567200
2019-05-29,250.759995,251.710007,245.770004,247.500000,247.500000,623000
2019-05-30,249.820007,251.330002,246.669998,247.970001,247.970001,409600
2019-05-31,244.119995,246.889999,243.350006,244.589996,244.589996,692200
2019-06-03,243.740005,246.929993,240.679993,241.360001,241.360001,1064100
2019-06-04,245.039993,254.860001,244.266998,254.710007,254.710007,835100
2019-06-05,257.790009,263.730011,254.910004,263.630005,263.630005,1489600
2019-06-06,264.100006,265.910004,253.589996,257.179993,257.179993,1109000
2019-06-07,250.660004,251.000000,236.539993,246.440002,246.440002,2086700
2019-06-10,247.839996,255.729996,247.839996,250.070007,250.070007,1119600
2019-06-11,252.000000,254.070007,241.115005,243.000000,243.000000,844800
2019-06-12,242.679993,246.951004,242.449997,243.880005,243.880005,679200
2019-06-13,245.720001,245.720001,239.889999,242.009995,242.009995,1246200
2019-06-14,240.500000,241.500000,232.300003,236.080002,236.080002,946200
2019-06-17,236.889999,241.179993,236.889999,238.600006,238.600006,902300
2019-06-18,241.300003,247.250000,241.300003,242.059998,242.059998,686000
2019-06-19,244.020004,245.910004,242.059998,243.160004,243.160004,632900
2019-06-20,248.000000,250.500000,244.029999,248.729996,248.729996,705200
2019-06-21,248.929993,254.610001,248.080002,253.389999,253.389999,1477500
2019-06-24,253.279999,255.250000,250.919006,252.089996,252.089996,869500
2019-06-25,251.710007,251.899994,245.410004,246.380005,246.380005,574700
2019-06-26,250.779999,257.970001,249.000000,255.309998,255.309998,1437100
2019-06-27,256.790009,262.579987,256.640015,257.989990,257.989990,1149500
2019-06-28,259.000000,260.440002,254.880005,259.619995,259.619995,813900
2019-07-01,265.470001,266.954987,261.350006,262.839996,262.839996,664800
2019-07-02,262.829987,265.950012,261.380005,265.299988,265.299988,570100
2019-07-03,265.880005,268.940002,264.649994,268.859985,268.859985,830700
2019-07-05,268.100006,271.130005,265.950012,270.739990,270.739990,571600
2019-07-08,269.459991,269.760010,266.149994,268.000000,268.000000,615000
2019-07-09,265.989990,271.140015,265.299988,270.549988,270.549988,525600
2019-07-10,272.170013,274.388000,269.589996,270.390015,270.390015,463600
2019-07-11,271.359985,272.540009,268.369995,271.899994,271.899994,535900
2019-07-12,272.000000,276.119995,272.000000,274.260010,274.260010,456700
2019-07-15,276.309998,278.200012,274.484985,277.640015,277.640015,640700
2019-07-16,276.000000,277.989990,272.635010,275.510010,275.510010,639900
2019-07-17,275.619995,280.625000,275.102997,277.429993,277.429993,597100
2019-07-18,277.279999,278.494995,273.410004,275.489990,275.489990,737400
2019-07-19,282.119995,287.609985,278.540009,282.739990,282.739990,1033500
2019-07-22,283.820007,289.450012,282.739990,287.359985,287.359985,672200
2019-07-23,288.450012,288.799988,273.910004,276.350006,276.350006,1280400
2019-07-24,277.029999,279.850006,276.470001,279.190002,279.190002,756000
2019-07-25,278.649994,278.989990,262.700012,267.410004,267.410004,1263800
2019-07-26,268.779999,273.820007,266.540009,272.980011,272.980011,677500
2019-07-29,272.500000,272.670013,266.282013,272.230011,272.230011,671500
2019-07-30,272.239990,275.869995,269.559998,274.279999,274.279999,642900
2019-07-31,274.299988,279.239990,271.144989,273.450012,273.450012,687400
2019-08-01,273.220001,278.470001,268.369995,272.220001,272.220001,1178800
2019-08-02,254.750000,255.000000,240.229996,244.119995,244.119995,2991400
2019-08-05,236.990005,238.000000,229.050003,230.949997,230.949997,1503900
2019-08-06,235.509995,236.899994,230.199997,235.820007,235.820007,948600
2019-08-07,230.970001,235.320007,230.179993,235.000000,235.000000,765000
